2025-08-30 15:59:34.662 +05:30 [INF] Now listening on: https://localhost:7113
2025-08-30 15:59:34.674 +05:30 [INF] Now listening on: http://localhost:5171
2025-08-30 15:59:34.675 +05:30 [INF] Application started. Press Ctrl+C to shut down.
2025-08-30 15:59:34.675 +05:30 [INF] Hosting environment: Development
2025-08-30 15:59:34.675 +05:30 [INF] Content root path: /Users/aryanbrahmbhatt/VS Code/Inventory Tracker/Inventory Tracker
2025-08-30 15:59:34.802 +05:30 [INF] HTTP GET /swagger/index.html responded 200 in 36.7591 ms
2025-08-30 15:59:34.858 +05:30 [INF] HTTP GET /swagger/index.js responded 200 in 24.7751 ms
2025-08-30 15:59:34.863 +05:30 [INF] HTTP GET /swagger/index.css responded 304 in 28.9138 ms
2025-08-30 15:59:34.895 +05:30 [INF] HTTP GET /swagger/swagger-ui.css responded 200 in 61.1867 ms
2025-08-30 15:59:34.895 +05:30 [INF] HTTP GET /swagger/swagger-ui-standalone-preset.js responded 200 in 61.1918 ms
2025-08-30 15:59:34.997 +05:30 [INF] HTTP GET /swagger/swagger-ui-bundle.js responded 200 in 162.9066 ms
2025-08-30 15:59:35.153 +05:30 [INF] HTTP GET /swagger/favicon-32x32.png responded 304 in 25.4535 ms
2025-08-30 15:59:35.200 +05:30 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 122.1948 ms
2025-08-30 16:00:25.397 +05:30 [INF] HTTP POST /api/Auth/register responded 200 in 336.6608 ms
2025-08-30 16:01:08.942 +05:30 [INF] HTTP POST /api/Auth/register responded 400 in 13.2766 ms
2025-08-30 16:02:06.442 +05:30 [INF] HTTP POST /api/Auth/register responded 400 in 338.2828 ms
